DeviceTag: Xsens DOT,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Inertial Mode - Rate quantities,StartTime: 2022-12-03 22:44:55.744,© Movella Technologies B.V. 2005-2022
SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
17828467,-0.0843,-0.0452,9.8389,0.2096,-0.1356,0.0539
17828634,-0.0769,-0.0686,9.8439,0.1940,-0.1265,0.0840
17828801,-0.0760,-0.0670,9.8273,0.2556,-0.1510,0.0685
17828967,-0.0736,-0.0689,9.8410,0.2587,-0.1538,0.0238
17829134,-0.0746,-0.0385,9.8264,0.2553,-0.1025,0.1035
17829301,-0.0800,-0.0618,9.8178,0.2015,-0.0929,0.1058
17829467,-0.0718,-0.0577,9.8452,0.2449,-0.1189,0.1118
17829634,-0.0735,-0.0571,9.8322,0.2685,-0.1088,0.1147
17829801,-0.0832,-0.0713,9.8313,0.2759,-0.0799,0.0561
17829967,-0.0752,-0.0609,9.8455,0.2884,-0.1945,0.0910
17830134,-0.0717,-0.0541,9.8361,0.2652,-0.0965,0.1222
17830301,-0.0750,-0.0559,9.8231,0.2395,-0.0983,0.0503
17830467,-0.0751,-0.0567,9.8286,0.2273,-0.1698,0.0424
17830634,-0.0761,-0.0661,9.8360,0.2723,-0.1515,0.0773
17830801,-0.0733,-0.0588,9.8232,0.2571,-0.1407,0.1270
17830967,-0.0924,-0.0625,9.8235,0.2207,-0.0717,0.1165
17831134,-0.0809,-0.0793,9.8318,0.2317,-0.1180,0.0788
17831301,-0.0838,-0.0706,9.8331,0.1601,-0.1085,0.1192
17831467,-0.0802,-0.0751,9.8372,0.2229,-0.1040,0.1078
17831634,-0.0713,-0.0544,9.8289,0.2771,-0.1492,0.0808
17831801,-0.0742,-0.0551,9.8295,0.2208,-0.1742,0.0559
17831967,-0.0740,-0.0667,9.8214,0.2481,-0.1109,0.1102
17832134,-0.0708,-0.0650,9.8320,0.2586,-0.1538,0.1079
17832301,-0.0815,-0.0554,9.8260,0.2277,-0.0813,0.1078
17832467,-0.0755,-0.0564,9.8304,0.2409,-0.1697,0.0869
17832634,-0.0814,-0.0640,9.8369,0.2503,-0.2094,0.0699
17832801,-0.0732,-0.0788,9.8289,0.2375,-0.0776,0.1236
17832967,-0.0813,-0.0694,9.8340,0.2405,-0.1087,0.0237
17833134,-0.0716,-0.0585,9.8267,0.2258,-0.1565,0.0667
17833301,-0.0734,-0.0625,9.8273,0.2462,-0.1524,0.0414
17833467,-0.0770,-0.0606,9.8266,0.2325,-0.0893,0.0019
17833634,-0.0777,-0.0556,9.8311,0.2370,-0.1667,0.0279
17833801,-0.0843,-0.0516,9.8288,0.2309,-0.1379,0.0565
17833967,-0.0777,-0.0610,9.8100,0.2738,-0.0966,0.1485
17834134,-0.0847,-0.0563,9.8230,0.1522,-0.0814,0.1174
17834301,-0.0787,-0.0592,9.8341,0.2126,-0.1530,0.0882
17834467,-0.0855,-0.0632,9.8266,0.2417,-0.1573,0.0929
17834634,-0.0751,-0.0503,9.8327,0.2704,-0.1688,0.0686
17834801,-0.0691,-0.0527,9.8144,0.2432,-0.1373,0.0747
17834967,-0.0750,-0.0593,9.8257,0.2026,-0.1564,0.0914
17835134,-0.0727,-0.0684,9.8256,0.1652,-0.1508,0.0402
17835301,-0.0785,-0.0515,9.8423,0.2698,-0.1122,0.0924
17835467,-0.0695,-0.0610,9.8370,0.3353,-0.1005,0.0768
17835634,-0.0752,-0.0578,9.8473,0.2135,-0.1628,0.1187
17835801,-0.0845,-0.0523,9.8262,0.2696,-0.1492,0.0849
17835968,-0.0856,-0.0606,9.8178,0.1629,-0.1300,0.1214
17836134,-0.0684,-0.0673,9.8255,0.2795,-0.1493,0.0729
17836301,-0.0811,-0.0659,9.8288,0.2965,-0.1211,0.0921
17836468,-0.0655,-0.0528,9.8323,0.2499,-0.1049,0.0459
17836634,-0.0944,-0.0645,9.8232,0.2384,-0.1230,0.0910
17836801,-0.0739,-0.0616,9.8232,0.2767,-0.1747,0.1231
17836968,-0.0652,-0.0742,9.8385,0.1802,-0.1537,0.0088
17837134,-0.0849,-0.0676,9.8332,0.2026,-0.1132,0.1037
17837301,-0.0823,-0.0611,9.8283,0.2391,-0.1284,0.1388
17837468,-0.0819,-0.0601,9.8365,0.2447,-0.0951,0.0998
17837634,-0.0780,-0.0580,9.8368,0.2778,-0.1238,0.0555
17837801,-0.0771,-0.0593,9.8275,0.2649,-0.0905,0.0483
17837968,-0.0808,-0.0619,9.8167,0.2156,-0.1477,0.1189
17838134,-0.0760,-0.0541,9.8271,0.2358,-0.1886,0.1050
17838301,-0.0754,-0.0557,9.8296,0.3159,-0.1313,0.1304
17838468,-0.0798,-0.0732,9.8337,0.1979,-0.1820,0.0498
17838634,-0.0920,-0.0589,9.8391,0.2333,-0.1131,0.0622
17838801,-0.0822,-0.0642,9.8317,0.3322,-0.1272,0.0853
17838968,-0.0750,-0.0492,9.8284,0.2415,-0.1299,0.0763
17839134,-0.0936,-0.0630,9.8341,0.2992,-0.1677,0.1276
17839301,-0.0765,-0.0723,9.8317,0.2372,-0.1779,0.1457
17839468,-0.0700,-0.0509,9.8321,0.2927,-0.1210,0.0558
17839634,-0.0910,-0.0551,9.8278,0.2863,-0.0802,0.0623
17839801,-0.0743,-0.0543,9.8254,0.2822,-0.1463,0.1024
17839968,-0.0709,-0.0765,9.8273,0.2972,-0.0768,0.1261
