DeviceTag: Xsens DOT0,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Inertial Mode - Rate quantities,StartTime: 2022-12-03 22:44:55.933,© Movella Technologies B.V. 2005-2022
SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
17830448,-0.2385,-0.0586,9.8507,-0.1893,-0.1482,0.0359
17830614,-0.2260,-0.0636,9.8492,-0.1626,-0.1931,-0.0274
17830781,-0.2283,-0.0642,9.8561,-0.1650,-0.0871,-0.0210
17830948,-0.2279,-0.0631,9.8542,-0.2601,-0.1150,-0.0177
17831114,-0.2291,-0.0618,9.8508,-0.1673,-0.0955,0.0250
17831281,-0.2350,-0.0587,9.8631,-0.2302,-0.1684,0.0308
17831448,-0.2325,-0.0712,9.8540,-0.1919,-0.1910,-0.0738
17831614,-0.2344,-0.0616,9.8494,-0.1597,-0.0967,-0.0706
17831781,-0.2273,-0.0576,9.8531,-0.1229,-0.1717,-0.0038
17831948,-0.2397,-0.0612,9.8485,-0.1696,-0.1809,-0.1155
17832114,-0.2385,-0.0548,9.8596,-0.1682,-0.1749,-0.1095
17832281,-0.2337,-0.0649,9.8541,-0.1502,-0.1658,-0.0281
17832448,-0.2342,-0.0706,9.8556,-0.1633,-0.2005,-0.1137
17832614,-0.2310,-0.0626,9.8556,-0.1351,-0.1363,-0.0188
17832781,-0.2262,-0.0562,9.8511,-0.1859,-0.1844,-0.0949
17832948,-0.2396,-0.0668,9.8443,-0.1949,-0.1157,-0.0359
17833114,-0.2316,-0.0698,9.8609,-0.1349,-0.1058,-0.0381
17833281,-0.2382,-0.0688,9.8649,-0.1839,-0.1899,-0.0137
17833448,-0.2256,-0.0671,9.8530,-0.1812,-0.0724,-0.0688
17833614,-0.2382,-0.0560,9.8583,-0.2451,-0.2211,-0.0828
17833781,-0.2343,-0.0644,9.8568,-0.1692,-0.1393,0.0064
17833948,-0.2336,-0.0589,9.8559,-0.2015,-0.1661,-0.0634
17834114,-0.2373,-0.0556,9.8552,-0.1482,-0.0871,-0.0261
17834281,-0.2453,-0.0778,9.8497,-0.1584,-0.1199,-0.1437
17834448,-0.2324,-0.0661,9.8521,-0.1345,-0.1786,-0.1244
17834614,-0.2271,-0.0647,9.8550,-0.1777,-0.1448,-0.0839
17834781,-0.2355,-0.0677,9.8502,-0.2579,-0.2293,-0.0073
17834948,-0.2344,-0.0496,9.8517,-0.1281,-0.1234,-0.0294
17835114,-0.2316,-0.0664,9.8640,-0.1245,-0.1925,-0.0634
17835281,-0.2339,-0.0690,9.8570,-0.2091,-0.1945,-0.0207
17835448,-0.2377,-0.0619,9.8555,-0.1394,-0.1091,-0.0747
