DeviceTag: XsensDOT,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Inertial Mode - Rate quantities,StartTime: 2022-12-03 22:44:55.622,© Movella Technologies B.V. 2005-2022
SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
17827458,-0.0877,-0.0588,9.7972,-0.4969,0.0723,-0.2015
17827624,-0.0803,-0.0481,9.8042,-0.3991,0.0710,-0.1664
17827791,-0.0658,-0.0540,9.7991,-0.4545,0.1238,-0.2053
17827958,-0.0846,-0.0452,9.7940,-0.4524,0.0384,-0.1270
17828124,-0.0789,-0.0402,9.7987,-0.4943,0.0429,-0.1890
17828291,-0.0863,-0.0477,9.8093,-0.3794,0.1076,-0.1278
17828458,-0.0681,-0.0560,9.8146,-0.4272,0.1350,-0.1754
17828624,-0.0759,-0.0438,9.8075,-0.4562,0.0895,-0.1539
17828791,-0.0829,-0.0508,9.8056,-0.4205,0.0435,-0.0980
17828958,-0.0794,-0.0475,9.8087,-0.3860,0.0519,-0.1448
17829124,-0.0834,-0.0494,9.8078,-0.4478,0.0496,-0.1275
17829291,-0.0712,-0.0504,9.7990,-0.4595,0.0246,-0.1910
17829458,-0.0893,-0.0528,9.8083,-0.3508,-0.0353,-0.1688
17829624,-0.0717,-0.0458,9.8120,-0.4099,0.0609,-0.1322
17829791,-0.0890,-0.0396,9.8060,-0.4453,0.0739,-0.1625
17829958,-0.0955,-0.0558,9.8083,-0.4347,0.1077,-0.1040
17830124,-0.0795,-0.0519,9.8101,-0.4837,0.0718,-0.0948
17830291,-0.0742,-0.0452,9.8210,-0.4326,0.0618,-0.1977
17830458,-0.0885,-0.0523,9.8047,-0.4478,0.0593,-0.1472
17830624,-0.0762,-0.0521,9.8112,-0.4212,0.0268,-0.1900
17830791,-0.0826,-0.0436,9.8048,-0.4264,0.0702,-0.1342
17830958,-0.0806,-0.0514,9.8095,-0.3729,0.1010,-0.1727
17831124,-0.0806,-0.0517,9.8109,-0.4082,0.0447,-0.1397
17831291,-0.0794,-0.0549,9.8076,-0.4505,0.0103,-0.1489
17831458,-0.0665,-0.0637,9.7921,-0.4667,0.1219,-0.1542
17831624,-0.0853,-0.0562,9.8216,-0.4543,0.0883,-0.1956
17831791,-0.0873,-0.0446,9.8047,-0.4329,0.0121,-0.1941
17831958,-0.0791,-0.0518,9.8164,-0.4728,0.0677,-0.1322
17832125,-0.0820,-0.0455,9.7962,-0.4578,0.0544,-0.1788
17832291,-0.0683,-0.0460,9.8095,-0.4919,0.0846,-0.1201
17832458,-0.0829,-0.0423,9.8144,-0.4412,0.0379,-0.1084
17832625,-0.0917,-0.0416,9.8104,-0.3891,0.0738,-0.1755
17832791,-0.0953,-0.0358,9.8188,-0.4880,0.0742,-0.1464
17832958,-0.0760,-0.0535,9.8112,-0.4271,0.0832,-0.1588
17833125,-0.0868,-0.0499,9.8073,-0.4327,0.0575,-0.1460
17833291,-0.0813,-0.0624,9.8066,-0.4617,0.1090,-0.1313
17833458,-0.0864,-0.0527,9.8071,-0.5479,0.0694,-0.1305
17833625,-0.0844,-0.0476,9.8022,-0.5090,0.0385,-0.1910
17833791,-0.0883,-0.0460,9.8141,-0.3975,0.0743,-0.1841
17833958,-0.0684,-0.0524,9.8109,-0.4872,0.0182,-0.1963
17834125,-0.0781,-0.0659,9.8131,-0.4406,0.0528,-0.1220
17834291,-0.0941,-0.0430,9.8098,-0.3728,0.0973,-0.1714
17834458,-0.0855,-0.0438,9.8112,-0.4624,0.0460,-0.1401
17834625,-0.0902,-0.0510,9.8271,-0.4532,0.0708,-0.1164
17834791,-0.0820,-0.0570,9.7944,-0.4349,0.1331,-0.1702
17834958,-0.0839,-0.0377,9.8269,-0.4644,0.0993,-0.1466
17835125,-0.0873,-0.0617,9.8094,-0.4937,0.0830,-0.1551
17835291,-0.0875,-0.0457,9.8103,-0.3830,0.0385,-0.1822
17835458,-0.0812,-0.0453,9.8138,-0.3736,0.0213,-0.1079
17835625,-0.0775,-0.0497,9.8090,-0.3757,-0.0133,-0.1218
17835791,-0.0890,-0.0422,9.8083,-0.4390,0.0837,-0.1333
17835958,-0.0838,-0.0608,9.7996,-0.3682,0.0864,-0.1209
17836125,-0.0791,-0.0516,9.8028,-0.4052,0.0557,-0.2356
17836291,-0.0752,-0.0487,9.8153,-0.4124,0.0093,-0.1430
17836458,-0.0767,-0.0507,9.8066,-0.4165,0.0837,-0.1605
17836625,-0.0807,-0.0534,9.7988,-0.4513,0.0216,-0.1984
17836791,-0.0853,-0.0479,9.8145,-0.4268,0.1031,-0.1255
17836958,-0.0770,-0.0456,9.8119,-0.4470,0.1151,-0.1435
17837125,-0.0895,-0.0672,9.8111,-0.4469,0.0376,-0.1756
17837291,-0.0831,-0.0456,9.8254,-0.4014,0.0739,-0.1526
17837458,-0.0727,-0.0603,9.8108,-0.4601,0.0618,-0.1447
17837625,-0.0879,-0.0630,9.8076,-0.4546,0.0722,-0.0516
17837791,-0.0840,-0.0385,9.8158,-0.4165,0.1166,-0.0923
17837958,-0.0649,-0.0591,9.8076,-0.4344,0.0843,-0.1858
17838125,-0.0835,-0.0317,9.8059,-0.4439,0.0883,-0.1918
17838291,-0.0699,-0.0562,9.8235,-0.4588,0.0110,-0.2005
17838458,-0.0940,-0.0473,9.7951,-0.4790,0.1124,-0.1335
17838625,-0.0855,-0.0454,9.8076,-0.4017,0.0881,-0.1491
17838791,-0.0735,-0.0444,9.8078,-0.3658,0.0453,-0.1576
17838958,-0.0738,-0.0503,9.8195,-0.4861,0.0133,-0.1264
17839125,-0.0919,-0.0541,9.8073,-0.4333,0.0634,-0.1251
17839291,-0.0734,-0.0391,9.8039,-0.3813,0.0185,-0.1139
17839458,-0.0798,-0.0512,9.8073,-0.4414,0.0651,-0.1869
17839625,-0.0777,-0.0459,9.8030,-0.4279,0.0973,-0.1453
17839791,-0.0822,-0.0429,9.8163,-0.4258,0.0781,-0.1670
17839958,-0.0821,-0.0534,9.8134,-0.4774,0.0564,-0.1312
17840125,-0.0784,-0.0463,9.7977,-0.4326,0.1050,-0.1159
17840291,-0.0766,-0.0500,9.8138,-0.4779,0.0208,-0.1515
17840458,-0.0897,-0.0351,9.8155,-0.3702,0.0500,-0.1508
17840625,-0.0754,-0.0389,9.8146,-0.4234,0.0742,-0.1409
17840791,-0.0723,-0.0541,9.8244,-0.3878,0.0042,-0.2107
17840958,-0.0773,-0.0613,9.8098,-0.4187,0.0087,-0.1634
17841125,-0.0834,-0.0530,9.8108,-0.4016,0.0954,-0.1889
17841291,-0.0686,-0.0503,9.8121,-0.3890,0.0755,-0.1587
17841458,-0.0753,-0.0405,9.8030,-0.4759,0.0816,-0.1373
17841625,-0.0935,-0.0550,9.7974,-0.4665,0.0376,-0.1707
17841791,-0.0806,-0.0491,9.7983,-0.3918,0.0815,-0.1525
17841958,-0.0762,-0.0599,9.8173,-0.3332,0.0686,-0.1395
17842125,-0.0865,-0.0470,9.8208,-0.4195,0.0726,-0.1476
17842291,-0.0867,-0.0372,9.8008,-0.4313,0.0397,-0.1102
17842458,-0.0674,-0.0410,9.8046,-0.4097,0.0978,-0.1967
17842625,-0.0817,-0.0597,9.8069,-0.4312,0.0565,-0.0862
17842791,-0.0876,-0.0394,9.8150,-0.4083,0.1355,-0.0860
17842958,-0.0775,-0.0522,9.7943,-0.4864,0.0962,-0.1248
17843125,-0.0886,-0.0491,9.8183,-0.5844,0.0412,-0.1794
17843291,-0.0777,-0.0598,9.8170,-0.4730,0.0627,-0.1372
17843458,-0.0622,-0.0583,9.8099,-0.4393,0.0725,-0.2107
17843625,-0.0878,-0.0463,9.8020,-0.4965,0.0597,-0.1930
17843791,-0.0769,-0.0506,9.8015,-0.5304,0.0969,-0.2328
