DeviceTag: Xsens DOT1,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Inertial Mode - Rate quantities,StartTime: 2022-12-03 22:44:55.838,© Movella Technologies B.V. 2005-2022
SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
17829454,-0.2840,0.0737,9.8612,-0.2118,0.3681,-0.3689
17829621,-0.2997,0.0658,9.8649,-0.1637,0.3538,-0.3525
17829788,-0.2877,0.0775,9.8570,-0.2506,0.3577,-0.3452
17829954,-0.2860,0.0710,9.8615,-0.1566,0.3904,-0.3420
17830121,-0.2941,0.0831,9.8681,-0.2100,0.3308,-0.3206
17830288,-0.2859,0.0752,9.8610,-0.2324,0.3116,-0.3366
17830454,-0.2967,0.0721,9.8631,-0.1859,0.3630,-0.3663
17830621,-0.2920,0.0657,9.8522,-0.2072,0.2948,-0.3532
17830788,-0.2778,0.0849,9.8605,-0.1470,0.3717,-0.4373
17830954,-0.2852,0.0715,9.8732,-0.2371,0.3876,-0.3555
17831121,-0.2837,0.0898,9.8655,-0.2443,0.3796,-0.2996
17831288,-0.2770,0.0659,9.8568,-0.1861,0.3344,-0.3080
17831454,-0.2826,0.0740,9.8614,-0.1886,0.3048,-0.2625
17831621,-0.2859,0.0602,9.8676,-0.2489,0.4076,-0.3410
17831788,-0.2871,0.0735,9.8546,-0.1993,0.3606,-0.3454
17831954,-0.2953,0.0817,9.8618,-0.1968,0.3932,-0.3452
17832121,-0.2841,0.0669,9.8612,-0.2026,0.3519,-0.3506
17832288,-0.2815,0.0721,9.8671,-0.2706,0.2849,-0.3491
17832454,-0.2827,0.0622,9.8630,-0.2466,0.3151,-0.3660
17832621,-0.2862,0.0705,9.8809,-0.1515,0.3708,-0.3479
17832788,-0.2806,0.0879,9.8509,-0.2064,0.3241,-0.3535
17832954,-0.2985,0.0829,9.8524,-0.1263,0.3918,-0.3100
17833121,-0.2827,0.0904,9.8625,-0.3325,0.3526,-0.3668
17833288,-0.2875,0.0681,9.8559,-0.1635,0.4141,-0.3378
17833454,-0.2796,0.0799,9.8703,-0.2925,0.3703,-0.4168
17833621,-0.2919,0.0895,9.8590,-0.2573,0.3162,-0.3447
17833788,-0.2848,0.0786,9.8591,-0.1544,0.3479,-0.4139
17833954,-0.2825,0.0885,9.8524,-0.2119,0.3808,-0.3462
17834121,-0.2878,0.0804,9.8570,-0.2214,0.3544,-0.3951
17834288,-0.2862,0.0856,9.8535,-0.1917,0.3038,-0.3202
17834454,-0.2860,0.0915,9.8591,-0.1854,0.3729,-0.3244
17834621,-0.2850,0.0772,9.8599,-0.2349,0.2925,-0.3282
17834788,-0.2801,0.0877,9.8618,-0.1981,0.3417,-0.3211
17834954,-0.2855,0.0671,9.8515,-0.1724,0.3852,-0.3529
17835121,-0.2873,0.0891,9.8414,-0.2419,0.3512,-0.3079
17835288,-0.2762,0.0876,9.8541,-0.2246,0.3172,-0.3786
17835454,-0.2838,0.0764,9.8530,-0.2361,0.2776,-0.3694
17835621,-0.2901,0.0804,9.8588,-0.1714,0.3754,-0.2673
17835788,-0.2836,0.0787,9.8575,-0.2200,0.3499,-0.3914
17835954,-0.2870,0.0742,9.8696,-0.2311,0.3420,-0.4242
17836121,-0.2915,0.0702,9.8527,-0.2016,0.3339,-0.2842
17836288,-0.2800,0.0614,9.8621,-0.2012,0.3031,-0.2658
17836454,-0.2943,0.0643,9.8669,-0.2550,0.3491,-0.4179
17836621,-0.2822,0.0760,9.8536,-0.2042,0.3876,-0.3074
17836788,-0.2849,0.0711,9.8433,-0.2523,0.3458,-0.3459
17836954,-0.2945,0.0836,9.8520,-0.2160,0.3167,-0.2765
