DeviceTag: Xsens DOT,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Inertial Mode - Rate quantities,StartTime: 2022-12-03 22:44:56.029,© Movella Technologies B.V. 2005-2022
SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
17831419,-0.1134,-0.0987,9.8364,-0.4050,-0.1771,-0.5014
17831585,-0.1195,-0.1041,9.8270,-0.4388,-0.1939,-0.5035
17831752,-0.1276,-0.0885,9.8291,-0.3851,-0.1368,-0.5084
17831919,-0.1213,-0.0905,9.8248,-0.4299,-0.0910,-0.4553
17832085,-0.1205,-0.0953,9.8351,-0.4118,-0.0992,-0.5408
17832252,-0.1164,-0.0918,9.8251,-0.3717,-0.0875,-0.5297
17832419,-0.1145,-0.1003,9.8222,-0.3957,-0.2116,-0.5743
17832585,-0.1175,-0.0963,9.8338,-0.3795,-0.1472,-0.5231
17832752,-0.1126,-0.0977,9.8220,-0.3480,-0.1191,-0.5208
17832919,-0.1294,-0.0914,9.8281,-0.3499,-0.1623,-0.5031
17833085,-0.1358,-0.1013,9.8264,-0.3469,-0.0576,-0.5320
17833252,-0.1198,-0.0965,9.8275,-0.4015,-0.1607,-0.5656
17833419,-0.1200,-0.0855,9.8292,-0.4826,-0.1425,-0.4984
17833585,-0.1320,-0.0938,9.8198,-0.3447,-0.1676,-0.5039
17833752,-0.1168,-0.0907,9.8209,-0.3381,-0.1467,-0.4292
17833919,-0.1183,-0.0936,9.8353,-0.3860,-0.1767,-0.5049
17834086,-0.1318,-0.0995,9.8289,-0.4124,-0.1204,-0.5032
17834252,-0.1257,-0.0976,9.8357,-0.4053,-0.1581,-0.4980
17834419,-0.1179,-0.0988,9.8220,-0.4116,-0.1350,-0.4693
17834586,-0.1180,-0.0977,9.8180,-0.4080,-0.1834,-0.5555
17834752,-0.1160,-0.0969,9.8266,-0.3552,-0.1619,-0.5211
17834919,-0.1104,-0.0880,9.8403,-0.3919,-0.1075,-0.6012
17835086,-0.1232,-0.1080,9.8292,-0.4038,-0.0724,-0.5380
17835252,-0.1273,-0.0947,9.8241,-0.3547,-0.1251,-0.5167
17835419,-0.1298,-0.0852,9.8376,-0.4027,-0.1362,-0.4944
17835586,-0.1189,-0.0926,9.8394,-0.4220,-0.1378,-0.5365
17835752,-0.1096,-0.0913,9.8278,-0.3462,-0.1817,-0.5872
17835919,-0.1246,-0.0955,9.8335,-0.4315,-0.1359,-0.5199
17836086,-0.1317,-0.0931,9.8258,-0.4758,-0.1324,-0.5673
17836252,-0.1149,-0.0937,9.8357,-0.4224,-0.1575,-0.5192
17836419,-0.1151,-0.0938,9.8312,-0.4705,-0.2087,-0.4910
17836586,-0.1185,-0.0923,9.8262,-0.3353,-0.1591,-0.5569
17836752,-0.1102,-0.1018,9.8220,-0.3527,-0.1219,-0.5083
17836919,-0.1195,-0.0979,9.8292,-0.3518,-0.0515,-0.5482
17837086,-0.1155,-0.0945,9.8552,-0.4107,-0.0858,-0.5372
17837252,-0.1243,-0.0955,9.8270,-0.4004,-0.1147,-0.5067
17837419,-0.1179,-0.0915,9.8386,-0.3697,-0.2061,-0.5398
17837586,-0.1179,-0.0931,9.8424,-0.4421,-0.1152,-0.5132
17837752,-0.1300,-0.1006,9.8295,-0.3615,-0.1288,-0.4787
17837919,-0.1345,-0.0959,9.8361,-0.4545,-0.1427,-0.5346
17838086,-0.1180,-0.0916,9.8358,-0.4362,-0.1285,-0.5166
17838252,-0.1072,-0.0860,9.8226,-0.4033,-0.1176,-0.4995
17838419,-0.1238,-0.1114,9.8266,-0.3486,-0.1407,-0.5925
17838586,-0.1261,-0.1046,9.8198,-0.4434,-0.0803,-0.4862
17838752,-0.1193,-0.0939,9.8291,-0.3954,-0.0970,-0.5759
17838919,-0.1230,-0.0972,9.8253,-0.4195,-0.1625,-0.4993
17839086,-0.1294,-0.1005,9.8409,-0.4046,-0.1324,-0.5368
17839252,-0.1196,-0.0931,9.8382,-0.4087,-0.0724,-0.5125
17839419,-0.1197,-0.0902,9.8406,-0.4074,-0.2200,-0.5570
17839586,-0.1224,-0.0925,9.8385,-0.3494,-0.1828,-0.5067
17839752,-0.1240,-0.0956,9.8350,-0.4051,-0.1549,-0.5503
17839919,-0.1240,-0.1033,9.8240,-0.3208,-0.1759,-0.5083
17840086,-0.1319,-0.0927,9.8329,-0.3878,-0.1622,-0.5384
17840252,-0.1069,-0.1040,9.8296,-0.3831,-0.1528,-0.5199
17840419,-0.1252,-0.0982,9.8335,-0.3891,-0.1093,-0.4945
